entity_id,field_taxonomy_alpha_tid
966,232
966,241
748,226
748,244
942,224
942,243
1115,226
734,249
659,209
659,232
962,248
886,243
886,249
897,208
897,249
736,219
736,243
704,245
914,245
912,233
912,252
1095,210
1095,233
1099,208
1099,239
1099,251
1230,248
878,210
878,233
1226,239
1215,221
1215,242
1086,268
1086,241
773,263
773,248
773,252
955,237
700,267
1090,249
12,223
12,238
875,207
875,247
928,243
816,233
1096,241
1093,232
1093,233
873,265
873,245
1232,210
1232,260
1232,233
1233,243
1201,224
1201,245
1235,236
1238,215
1238,237
658,246
864,268
864,243
934,210
934,233
683,209
683,217
889,214
889,232
890,214
890,232
1239,245
1241,233
1243,252
1225,249
848,210
848,215
848,241
964,226
964,238
676,212
676,251
1199,219
1199,240
891,225
891,238
891,251
1038,223
1038,244
936,254
737,238
915,233
884,252
1247,208
1247,251
677,217
677,238
688,243
1250,238
1251,219
1251,249
1252,245
888,245
797,233
987,254
990,209
990,238
680,246
698,233
933,233
1110,233
693,233
833,248
795,248
854,212
854,246
937,232
853,215
853,237
939,237
906,238
784,238
1234,217
1234,238
753,238
1217,219
1217,236
821,238
829,238
1050,243
1051,243
815,243
782,244
820,254
917,233
918,237
1200,233
705,245
1109,245
856,245
940,245
715,245
842,245
954,252
803,246
1179,246
792,240
814,235
861,256
1104,232
1104,245
1240,236
1169,230
970,240
969,240
969,243
696,240
788,251
744,252
743,238
1208,245
703,240
981,242
714,213
714,268
714,243
1216,248
835,242
923,241
836,255
1042,219
1042,240
1037,219
1037,240
852,210
852,233
851,209
851,238
850,259
850,250
1213,240
1244,241
1255,244
1257,242
1259,239
1260,256
892,237
879,212
879,248
674,246
887,235
899,230
849,212
849,226
849,244
1261,240
1262,240
660,224
660,230
1258,233
1256,238
1254,244
731,229
746,210
746,233
746,240
1242,229
1242,236
1101,229
1101,245
664,229
874,207
874,229
702,207
702,229
694,207
694,229
733,207
733,229
2,229
1253,223
1253,230
1246,230
1237,211
1237,230
1237,232
1236,230
1236,246
1229,230
989,230
796,230
844,216
844,230
695,230
900,230
7,224
7,230
1248,215
1248,267
1248,231
1245,208
1245,231
825,231
732,216
732,224
732,231
732,233
898,231
10,231
723,242
716,247
913,219
913,240
666,211
666,245
1249,261
1249,232
872,259
872,260
872,233
1231,210
1231,233
722,238
883,252
926,245
